S/N,NMC (%),COHESION (kN/m2),ANGLE OF INTERNAL FRICTION (o),LIQUID LIMIT,PLASTIC LIMIT,PLASTICITY INDEX,9.5mm,4.75mm,2.0mm,0.85mm,0.425mm,0.212mm,0.106mm,0.075
1,21.2,48.8,19.2,52,23,29,100,96.5,91.4,86.7,81.9,71.8,52,44.8
2,21,69.8,20.2,50,22,28,100,97.8,91.4,79.3,66.3,55.4,47.7,45.2
3,25,2.2,34.5,32,12,20,100,99.4,95.6,87.3,76,56.9,34.4,28
4,20.4,22.1,26.8,33,14,19,100,79.9,69.9,58.1,50.3,42.2,33.9,31.1
5,15,107.3,24,38,12,26,100,81.6,72.3,68.1,66.3,63.9,43.9,33.2
6,36,0,41,35,18,17,100,60.1,55.7,51.1,48.1,40.4,29,25.9
7,10,58.4,22.4,52,25,27,100,98.2,97.5,97,95.9,88.2,62.5,50.2
8,13.9,75.5,22.2,43,22,21,100,98.3,95.2,88.6,80.5,59,31.4,25.7
9,11.5,0,42,35,22,13,100,96.5,92.7,87.7,80.7,70.9,42.9,32.9
10,14.4,0,42,33,15,18,100,72.7,62,50.9,42.8,33.5,23,20.4
11,19,1.2,36,29,16,13,100,100,99.9,99.6,98.2,86.3,39.6,28.4
12,25.6,91.2,20.4,41,25,16,100,99.6,99.5,96.1,90.8,82.8,74.1,71.3
13,30.1,104.5,21.2,41,22,19,100,99.7,97.2,89.6,78.3,65.3,54.3,50.8
14,26.7,0,47,38,21,17,100,94.2,67,48.1,43.8,40.3,36.2,35.3
15,16.3,3.4,32,0,0,0,100,100,99.3,95.9,81.7,40.2,5.1,0.9
16,8.3,0,41,0,0,0,100,91.8,84.3,77.6,70.9,63.8,50.2,38.6
17,16.4,1.7,37,0,0,0,100,99.8,99.7,99.4,89.2,45.3,10.4,5.8
18,13.8,0,42,0,0,0,100,98.7,94.3,90,80.3,33.4,4.4,0.9
19,17,1,37,0,0,0,100,99.7,96.1,91.4,83.4,40.5,8.8,6
20,22.1,1,37,0,0,0,100,96.7,93.9,90,85.3,35,8.2,6
21,26,1,37,0,0,0,100,97.3,95,79.9,44.5,13.9,1.7,0.3
22,11.8,61.5,20.4,0,0,0,100,95.9,81.9,72.9,65.7,49.5,27.3,20.3
23,13.4,71.7,24.1,0,0,0,100,100,78.7,27.5,6.1,1,0.2,0.2
24,8,65.8,21.5,0,0,0,100,99.6,96.6,94.1,92.2,50.9,4.3,0.2
25,10,66.9,21.8,0,0,0,100,78.7,67,57.5,49.6,42,32.6,30.5
26,15,1.1,40,0,0,0,100,100,100,98.3,90.8,78.6,23.8,9.4
27,9.5,6.6,14,0,0,0,100,100,99.3,93.5,70,28,3.3,0.9
28,27,0,39,0,0,0,100,100,100,100,98.2,63.9,16.5,7.4
29,26,4.7,19.6,0,0,0,100,90.4,75.2,56.2,37.6,21,5.8,1.8
30,14.6,105,26.8,0,0,0,100,98.6,98.4,98.2,97.8,94.7,73.5,62.8
31,12.2,0,41,0,0,0,100,84,70.1,38.1,25.1,11.6,6.6,4.6
32,18.9,4.7,16,0,0,0,100,98.6,97.6,95.5,73.2,32.1,6.5,2.3
33,15.5,0,45,0,0,0,100,98.2,92.1,84.5,79,61.5,22.9,13.5
34,20,0.8,40,0,0,0,100,98.6,97.5,89.9,63.2,20.1,2.1,0.4
35,30,2.2,37,0,0,0,100,91.5,78,48.3,18,5.7,1.3,0.2
36,25.2,0,39,0,0,0,100,99.8,97.5,88.3,78.4,48.8,13.6,6.6
37,23.4,0.4,33.1,0,0,0,100,93.9,84.2,69.2,49.7,18.8,3.8,0.6
38,24.9,2.8,33,0,0,0,100,95,72.3,34,11.8,4.4,2.8,2.7
